Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100nF,16V,X7R ","C_0402_1005Metric",142.150000,-110.970000,-90.000000,top
"C2","100nF,16V,X7R ","C_0402_1005Metric",142.150000,-106.000000,-90.000000,top
"C3","100nF,16V,X7R ","C_0402_1005Metric",142.150000,-100.580000,-90.000000,top
"C4","100nF,16V,X7R ","C_0402_1005Metric",142.150000,-95.130000,-90.000000,top
"C5","100nF,16V,X7R ","C_0402_1005Metric",142.150000,-89.740000,-90.000000,top
"C6","100nF,16V,X7R ","C_0402_1005Metric",142.150000,-84.340000,-90.000000,top
"C7","100nF,16V,X7R ","C_0402_1005Metric",142.150000,-79.270000,-90.000000,top
"C8","100nF,16V,X7R ","C_0402_1005Metric",152.230000,-69.400000,-45.000000,top
"C9","100nF,16V,X7R ","C_0402_1005Metric",157.480000,-64.150000,-90.000000,top
"C10","100nF,16V,X7R ","C_0402_1005Metric",164.170000,-62.880000,-90.000000,top
"C11","100nF,16V,X7R ","C_0402_1005Metric",170.970000,-63.430000,-90.000000,top
"C12","100nF,16V,X7R ","C_0402_1005Metric",178.250000,-64.890000,0.000000,top
"C13","100nF,16V,X7R ","C_0402_1005Metric",182.110000,-70.290000,-135.000000,top
"C14","100nF,16V,X7R ","C_0402_1005Metric",184.510000,-76.910000,180.000000,top
"C15","100nF,16V,X7R ","C_0402_1005Metric",185.540000,-80.300000,90.000000,top
"C16","100nF,16V,X7R ","C_0402_1005Metric",185.540000,-85.560000,90.000000,top
"C17","100nF,16V,X7R ","C_0402_1005Metric",185.540000,-90.610000,90.000000,top
"C18","100nF,16V,X7R ","C_0402_1005Metric",185.540000,-95.810000,90.000000,top
"C19","100nF,16V,X7R ","C_0402_1005Metric",185.540000,-101.010000,90.000000,top
"C20","100nF,16V,X7R ","C_0402_1005Metric",185.540000,-106.180000,90.000000,top
"C21","100nF,16V,X7R ","C_0402_1005Metric",185.540000,-111.450000,90.000000,top
"C22","100nF,16V,X7R ","C_0402_1005Metric",141.220000,-68.880000,45.000000,top
"C23","100nF,16V,X7R ","C_0402_1005Metric",134.790000,-66.120000,90.000000,top
"C24","100nF,16V,X7R ","C_0402_1005Metric",128.040000,-63.960000,90.000000,top
"C25","100nF,16V,X7R ","C_0402_1005Metric",121.760000,-67.040000,135.000000,top
"C26","100nF,16V,X7R ","C_0402_1005Metric",117.400000,-72.100000,135.000000,top
"C27","100nF,16V,X7R ","C_0402_1005Metric",115.697000,-63.627000,90.000000,top
"C28","100nF,16V,X7R ","C_0402_1005Metric",115.570000,-70.623000,-90.000000,top
"C29","100nF,16V,X7R ","C_0402_1005Metric",115.520000,-74.052000,90.000000,top
"C30","100nF,16V,X7R ","C_0402_1005Metric",115.520000,-79.386000,90.000000,top
"C31","100nF,16V,X7R ","C_0402_1005Metric",115.520000,-84.720000,90.000000,top
"C32","100nF,16V,X7R ","C_0402_1005Metric",115.520000,-90.054000,90.000000,top
"C33","100nF,16V,X7R ","C_0402_1005Metric",115.520000,-95.388000,90.000000,top
"C34","100nF,16V,X7R ","C_0402_1005Metric",115.520000,-100.722000,90.000000,top
"C35","100nF,16V,X7R ","C_0402_1005Metric",115.520000,-106.056000,90.000000,top
"C36","100nF,16V,X7R ","C_0402_1005Metric",115.520000,-111.390000,90.000000,top
"C37","100nF,16V,X7R ","C_0402_1005Metric",103.632000,-73.279000,-90.000000,top
"C38","10uF,10V,X5R ","C_0603_1608Metric",103.886000,-69.977000,-90.000000,top
"D1","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",146.050000,-111.252000,0.000000,top
"D2","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",146.050000,-105.875665,0.000000,top
"D3","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",146.050000,-100.499332,0.000000,top
"D4","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",146.050000,-95.122999,0.000000,top
"D5","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",146.050000,-89.746666,0.000000,top
"D6","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",146.050000,-84.370333,0.000000,top
"D7","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",146.050000,-78.994000,0.000000,top
"D8","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",150.622000,-72.644000,-45.000000,top
"D9","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",155.702000,-68.072000,-60.000000,top
"D10","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",161.290000,-65.532000,-70.000000,top
"D11","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",167.640000,-64.770000,-90.000000,top
"D12","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",173.736000,-65.786000,-120.000000,top
"D13","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",178.562000,-69.088000,-140.000000,top
"D14","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",181.610000,-74.168000,-160.000000,top
"D15","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",181.774000,-80.264000,180.000000,top
"D16","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",181.774000,-85.428666,180.000000,top
"D17","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",181.774000,-90.593332,180.000000,top
"D18","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",181.774000,-95.757998,180.000000,top
"D19","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",181.774000,-100.922664,180.000000,top
